DateTime,Open,High,Low,Close,Volume,OpenInterest
2015-09-01,135.16000,135.30000,128.46000,128.94000,0,0
2015-09-02,125.62000,125.62000,113.96000,114.43000,0,0
2015-09-03,113.20000,118.63000,112.44000,118.16000,0,0
2015-09-04,121.15000,125.81000,120.31000,123.15000,0,0
2015-09-08,120.51000,120.73000,117.54000,117.62000,0,0
2015-09-09,128.74000,131.63000,127.78000,131.30000,0,0
2015-09-10,132.28000,132.90000,126.88000,127.06000,0,0
2015-09-11,126.29000,126.66000,118.99000,119.09000,0,0
2015-09-14,120.02000,120.19000,117.25000,118.01000,0,0
2015-09-15,116.69000,117.21000,109.34000,109.34000,0,0
2015-09-16,108.51000,112.77000,106.48000,107.02000,0,0
2015-09-17,108.45000,118.47000,93.90000,118.09000,0,0
2015-09-18,120.79000,120.83000,113.33000,116.26000,0,0
2015-09-21,115.02000,115.18000,103.40000,103.40000,0,0
2015-09-22,111.91000,116.67000,110.04000,111.36000,0,0
2015-09-23,110.47000,112.34000,104.63000,105.86000,0,0
2015-09-24,110.52000,116.29000,108.32000,110.12000,0,0
2015-09-25,105.88000,113.24000,104.98000,110.54000,0,0
2015-09-28,113.40000,117.60000,112.39000,115.31000,0,0
2015-09-29,113.94000,115.75000,110.63000,110.99000,0,0
2015-09-30,107.10000,107.17000,102.37000,103.28000,0,0
2015-10-01,102.63000,103.30000,98.27000,98.27000,0,0
2015-10-02,102.14000,102.62000,95.07000,95.07000,0,0
2015-10-05,94.84000,94.84000,90.86000,92.29000,0,0
2015-10-06,92.50000,93.83000,90.73000,92.46000,0,0
2015-10-07,91.03000,94.04000,89.33000,89.43000,0,0
2015-10-08,90.57000,90.82000,85.60000,88.42000,0,0
2015-10-09,88.14000,91.15000,87.35000,89.08000,0,0
2015-10-12,91.57000,92.37000,88.23000,88.27000,0,0
2015-10-13,92.19000,98.47000,90.51000,98.35000,0,0
2015-10-14,101.49000,103.75000,99.55000,102.29000,0,0
2015-10-15,100.95000,101.82000,96.56000,96.61000,0,0
2015-10-16,97.19000,100.89000,96.99000,97.58000,0,0
2015-10-19,99.17000,100.06000,94.00000,94.38000,0,0
2015-10-20,94.69000,97.74000,93.37000,97.11000,0,0
2015-10-21,94.97000,106.59000,91.70000,106.02000,0,0
2015-10-22,100.51000,101.43000,96.69000,97.07000,0,0
2015-10-23,95.69000,101.29000,94.87000,97.21000,0,0
2015-10-26,99.35000,99.56000,96.03000,98.10000,0,0
2015-10-27,98.08000,99.67000,94.70000,95.21000,0,0
2015-10-28,94.63000,96.08000,87.99000,88.28000,0,0
2015-10-29,89.96000,92.03000,88.26000,88.60000,0,0
2015-10-30,88.71000,90.28000,86.43000,90.27000,0,0
2015-11-02,93.32000,93.45000,85.46000,86.75000,0,0
2015-11-03,86.71000,87.75000,85.47000,87.34000,0,0
