DateTime,contango,d4,d3,d2,d1,unch,u1,u2,u3,u4,hr_d4,hr_d3,hr_d2,hr_d1,hr_unch,hr_u1,hr_u2,hr_u3,hr_u4
2013-03-08,1.3,0,0,0,0,1,1,1,1,0,0.0,0.0,0.0,0.2,0.6,0.8,0.6,0.4,0.2
2013-03-11,1.45,0,0,0,0,1,1,1,0,0,0.0,0.0,0.0,0.0,0.6,0.8,0.8,0.4,0.2
2013-03-12,1.55,0,1,1,1,1,0,0,0,0,0.0,0.2,0.2,0.2,0.8,0.6,0.6,0.2,0.0
2013-03-13,1.75,0,0,0,1,1,1,0,0,0,0.0,0.2,0.2,0.4,1.0,0.6,0.4,0.2,0.0
2013-03-14,2.05,0,0,0,0,0,1,1,0,0,0.0,0.2,0.2,0.4,0.8,0.8,0.6,0.2,0.0
2013-03-15,2.15,0,0,1,1,1,0,0,0,0,0.0,0.2,0.4,0.6,0.8,0.6,0.4,0.0,0.0
2013-03-18,1.7,1,1,1,1,0,0,0,0,0,0.2,0.4,0.6,0.8,0.6,0.4,0.2,0.0,0.0
2013-03-19,1.61,1,1,1,1,1,1,0,0,0,0.4,0.4,0.6,0.8,0.6,0.6,0.2,0.0,0.0
2013-03-20,1.45,0,0,0,0,0,1,1,1,0,0.4,0.4,0.6,0.6,0.4,0.6,0.4,0.2,0.0
2013-03-21,1.2,1,1,1,1,1,0,0,0,0,0.6,0.6,0.8,0.8,0.6,0.4,0.2,0.2,0.0
2013-03-22,1.2,0,0,0,0,0,1,1,1,0,0.6,0.6,0.6,0.6,0.4,0.6,0.4,0.4,0.0
2013-03-25,1.25,0,1,1,1,1,1,0,0,0,0.4,0.6,0.6,0.6,0.6,0.8,0.4,0.4,0.0
2013-03-26,1.4,0,0,0,0,0,1,1,0,0,0.2,0.4,0.4,0.4,0.4,0.8,0.6,0.4,0.0
2013-03-27,1.3,0,1,1,1,1,0,0,0,0,0.2,0.6,0.6,0.6,0.6,0.6,0.4,0.2,0.0
2013-03-28,1.4,0,0,0,0,1,1,0,0,0,0.0,0.4,0.4,0.4,0.6,0.8,0.4,0.2,0.0
2013-04-01,1.35,0,1,1,1,1,0,0,0,0,0.0,0.6,0.6,0.6,0.8,0.6,0.2,0.0,0.0
2013-04-02,1.45,0,0,0,0,0,1,1,1,0,0.0,0.4,0.4,0.4,0.6,0.6,0.4,0.2,0.0
2013-04-03,1.1,1,1,1,1,1,0,0,0,0,0.2,0.6,0.6,0.6,0.8,0.4,0.2,0.2,0.0
2013-04-04,1.3,0,0,0,0,1,1,1,0,0,0.2,0.4,0.4,0.4,0.8,0.6,0.4,0.2,0.0
2013-04-05,1.15,1,1,1,1,0,0,0,0,0,0.4,0.6,0.6,0.6,0.6,0.4,0.4,0.2,0.0
2013-04-08,1.45,0,0,0,0,1,1,1,0,0,0.4,0.4,0.4,0.4,0.6,0.6,0.6,0.2,0.0
2013-04-09,1.45,0,0,0,1,1,1,1,1,0,0.4,0.4,0.4,0.6,0.8,0.6,0.6,0.2,0.0
2013-04-10,1.4,0,0,0,0,0,1,1,1,1,0.2,0.2,0.2,0.4,0.6,0.8,0.8,0.4,0.2
2013-04-11,1.35,0,0,0,0,1,1,1,1,0,0.2,0.2,0.2,0.4,0.6,0.8,0.8,0.6,0.2
2013-04-12,1.4,1,1,1,1,0,0,0,0,0,0.2,0.2,0.2,0.4,0.6,0.8,0.8,0.6,0.2
2013-04-15,-0.05,1,1,1,1,0,0,0,0,0,0.4,0.4,0.4,0.6,0.4,0.6,0.6,0.6,0.2
2013-04-16,0.85,0,0,0,0,0,1,1,1,1,0.4,0.4,0.4,0.4,0.2,0.6,0.6,0.6,0.4
2013-04-17,0.3,1,1,1,1,0,0,0,0,0,0.6,0.6,0.6,0.6,0.2,0.4,0.4,0.4,0.2
2013-04-18,0.3,0,1,1,1,1,1,0,0,0,0.6,0.8,0.8,0.8,0.2,0.4,0.2,0.2,0.2
2013-04-19,0.85,0,0,0,0,0,1,1,1,0,0.4,0.6,0.6,0.6,0.2,0.6,0.4,0.4,0.2
2013-04-22,0.8,0,0,0,1,1,1,1,1,0,0.2,0.4,0.4,0.6,0.4,0.8,0.6,0.6,0.2
2013-04-23,0.85,0,0,0,0,0,1,1,1,1,0.2,0.4,0.4,0.6,0.4,0.8,0.6,0.6,0.2
2013-04-24,0.75,0,0,0,0,1,1,0,0,0,0.0,0.2,0.2,0.4,0.6,1.0,0.6,0.6,0.2
2013-04-25,0.7,0,0,0,0,0,1,1,1,1,0.0,0.0,0.0,0.2,0.4,1.0,0.8,0.8,0.4
2013-04-26,0.8,0,0,1,1,0,0,0,0,0,0.0,0.0,0.2,0.4,0.4,0.8,0.6,0.6,0.4
2013-04-29,0.8,0,0,0,0,0,1,1,1,1,0.0,0.0,0.2,0.2,0.2,0.8,0.6,0.6,0.6
2013-04-30,0.95,0,0,1,1,1,1,0,0,0,0.0,0.0,0.4,0.4,0.4,0.8,0.4,0.4,0.4
2013-05-01,0.8,0,1,1,1,1,0,0,0,0,0.0,0.2,0.6,0.6,0.4,0.6,0.4,0.4,0.4
